,Name,Main Tag,Tags,Rating,Num Reviews,Address,Zip Code,Neighborhood
1919,Mother India Cuisine,Indian restaurant,Indian restaurant,4.5,729.0,"Mother India Cuisine, 1515 Westlake Ave N, Seattle, WA 98109",98109,Queen Anne/South Lake Union
1922,Bottega Italiana,Ice cream shop,"Ice cream shop, Coffee shop, Dessert shop, Espresso bar",4.5,379.0,"Bottega Italiana, 1425 1st Ave, Seattle, WA 98101",98101,Downtown
1923,Oliver's Lounge,Bar & grill,"Bar & grill, Bar, Lounge",4.5,243.0,"Oliver's Lounge, Mayflower Park Hotel, 405 Olive Wy, Seattle, WA 98101",98101,Downtown
1924,Casco Antiguo,Mexican restaurant,Mexican restaurant,4.3,1977.0,"Casco Antiguo, 2102 7th Ave, Seattle, WA 98121",98121,Belltown
1926,Outer Planet Craft Brewing,Brewery,"Brewery, Beer garden, Beer hall, Beer store, Brewpub",4.6,234.0,"Outer Planet Craft Brewing, 1812 12th Ave #100, Seattle, WA 98122",98122,Capitol Hill
1930,Rough & Tumble Pub,Sports bar,"Sports bar, Bar, Brunch restaurant, Pub, Restaurant",4.6,234.0,"Rough & Tumble Pub, 5309 22nd Ave NW Top Floor, Seattle, WA 98107",98107,Ballard
1931,Kai's Thai Street Food And Bar,Thai restaurant,Thai restaurant,4.2,143.0,"Kai's Thai Street Food And Bar, 1312 NE 43rd St, Seattle, WA 98105",98105,University District
1935,Veggie Grill,Vegan restaurant,Vegan restaurant,4.3,794.0,"Veggie Grill, 2681 NE University Village St, Seattle, WA 98105",98105,University District
1936,COBA - Viet Kitchen & Ales,Vietnamese restaurant,"Vietnamese restaurant, Restaurant",4.4,670.0,"COBA - Viet Kitchen & Ales, 530 1st Ave N, Seattle, WA 98109",98109,Queen Anne/South Lake Union
1937,Jak's Grill,Restaurant,Restaurant,4.6,832.0,"Jak's Grill, 4548 California Ave SW, Seattle, WA 98116",98116,Other
1938,RAZZiS PIZZERiA DOWNTOWN,Italian restaurant,"Italian restaurant, Gluten-free restaurant, Pizza restaurant, Vegan restaurant",4.3,825.0,"RAZZiS PIZZERiA DOWNTOWN, 1314 Howell St, Seattle, WA 98101",98101,Downtown
1939,Little Coney,American restaurant,American restaurant,4.0,252.0,"Little Coney, 8003 Seaview Ave NW, Seattle, WA 98117",98117,Other
1940,Americano,Hamburger restaurant,Hamburger restaurant,4.6,349.0,"Americano, 2818 Thorndyke Ave W, Seattle, WA 98199",98199,Other
1941,Zeeks Pizza,Pizza restaurant,"Pizza restaurant, Family restaurant, Italian restaurant, Pizza delivery, Pizza Takeout, Restaurant",4.1,272.0,"Zeeks Pizza, 7900 East Green Lake Dr N, Seattle, WA 98103",98103,Fremont/Wallingford
1946,SUSU Dessert Bar,Dessert shop,"Dessert shop, Bakery, Bar",4.7,51.0,"SUSU Dessert Bar, 665 S King St, Seattle, WA 98104",98104,Chinatown
1947,Alaskan Sourdough Bakery,Bakery,Bakery,3.9,167.0,"Alaskan Sourdough Bakery, 1301 Alaskan Wy, Seattle, WA 98101",98101,Downtown
1949,Pho Ba,Vietnamese restaurant,"Vietnamese restaurant, Pho restaurant, Restaurant",4.6,631.0,"Pho Ba, 415 7th Ave S, Seattle, WA 98104",98104,Chinatown
1950,Friday Afternoon,Tea house,Tea house,4.8,298.0,"Friday Afternoon, 4228 Stone Way N, Seattle, WA 98103",98103,Fremont/Wallingford
1952,Kedai Makan,Malaysian restaurant,Malaysian restaurant,4.5,1701.0,"Kedai Makan, 1449 E Pine St, Seattle, WA 98122",98122,Capitol Hill
1953,College Inn Pub,Pub,Pub,4.4,521.0,"College Inn Pub, 4006 University Way NE, Seattle, WA 98105",98105,University District
1956,Rhein Haus Seattle,German restaurant,"German restaurant, Bar",4.4,3661.0,"Rhein Haus Seattle, 912 12th Ave, Seattle, WA 98122",98122,Capitol Hill
1957,Starbucks,Coffee shop,"Coffee shop, Cafe, Coffee store, Espresso bar",3.9,134.0,"Starbucks, 302 NE Northgate Way, Seattle, WA 98125",98125,Northgate
1958,Kalia Indian Cuisine,Indian restaurant,"Indian restaurant, Asian restaurant",4.2,238.0,"Kalia Indian Cuisine, 8518 Greenwood Ave N, Seattle, WA 98103",98103,Fremont/Wallingford
1959,Teriyaki Bowl,Restaurant,"Restaurant, Pan-Asian restaurant",4.3,141.0,"Teriyaki Bowl, 4207 Gilman Ave W, Seattle, WA 98199",98199,Other
1960,Jade Garden Restaurant,Dim sum restaurant,"Dim sum restaurant, Restaurant",4.2,2369.0,"Jade Garden Restaurant, 424 7th Ave S, Seattle, WA 98104",98104,Chinatown
1961,Elliott's Oyster House,Seafood restaurant,"Seafood restaurant, Bar",4.3,5804.0,"Elliott's Oyster House, 1201 Alaskan Wy Ste 100, Seattle, WA 98101",98101,Downtown
1962,Ballard Mandarin,Chinese restaurant,"Chinese restaurant, Asian restaurant, Chinese takeaway, Noodle shop, Restaurant, Seafood restaurant, Soba noodle shop, Soup kitchen, Udon noodle restaurant, Wok restaurant",4.1,606.0,"Ballard Mandarin, 5500 8th Ave NW, Seattle, WA 98107",98107,Ballard
1964,KAMINO SUSHI AND MORE,Sushi restaurant,"Sushi restaurant, Asian restaurant, Burmese restaurant, Fast food restaurant, Pho restaurant, Sushi takeaway, Thai restaurant",4.4,45.0,"KAMINO SUSHI AND MORE, 372 Roy St, Seattle, WA 98109",98109,Queen Anne/South Lake Union
1965,Windy City Pie,Pizza restaurant,"Pizza restaurant, Bar, Caterer, Restaurant",4.6,1169.0,"Windy City Pie, 5918 Phinney Ave N, Seattle, WA 98103",98103,Fremont/Wallingford
1966,107th St. Cafe Banh Mi,Cafe,Cafe,4.8,156.0,"107th St. Cafe Banh Mi, Parking lot, 10700 Meridian Ave N #106, Seattle, WA 98133",98133,Bitter Lake
1967,Collins Pub,Bar & grill,Bar & grill,4.4,578.0,"Collins Pub, 526 2nd Ave, Seattle, WA 98104",98104,Chinatown
