index,Restaurant,URL,Rating,Number_of_reviews,Address,Marquee,Distribution,DollarSigns,RestaurantType
36,Din Tai Fung,https://www.tripadvisor.com/Restaurant_Review-g60878-d6413321-Reviews-Din_Tai_Fung-Seattle_Washington.html,4.5,728,"2621 NE 46th St, Seattle, WA 98105-5041","#20 of 2,182 Restaurants in Seattle","[416, 190, 55, 14, 8]",$$ - $$$,ChineseAsianTaiwanese
37,Fremont Brewing,https://www.tripadvisor.com/Restaurant_Review-g60878-d6900468-Reviews-Fremont_Brewing-Seattle_Washington.html,4.5,200,"3409 Woodland Park Ave N, Seattle, WA 98103-8925","#21 of 2,182 Restaurants in Seattle","[126, 47, 9, 0, 2]",$,Brew PubPub
38,Shuckers Oyster Bar,https://www.tripadvisor.com/Restaurant_Review-g60878-d432669-Reviews-Shuckers_Oyster_Bar-Seattle_Washington.html,4.5,1003,"411 University St Fairmont Olympic Hotel, Seattle, WA 98101-2507","#22 of 2,182 Restaurants in Seattle","[547, 301, 79, 26, 9]",$$ - $$$,AmericanSeafoodVegetarian Friendly
39,Six Seven Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60878-d433088-Reviews-Six_Seven_Restaurant-Seattle_Washington.html,4.5,1182,"2411 Alaskan Way Pier 67, Seattle, WA 98121-1313","#23 of 2,182 Restaurants in Seattle","[704, 289, 90, 29, 30]",$$$$,SeafoodVegetarian FriendlyVegan Options
40,Din Tai Fung,https://www.tripadvisor.com/Restaurant_Review-g60878-d12242883-Reviews-Din_Tai_Fung-Seattle_Washington.html,4.5,311,"600 Pine St Suite 403, Seattle, WA 98101-3700","#24 of 2,182 Restaurants in Seattle","[176, 79, 26, 8, 2]",$$ - $$$,ChineseShanghaiVegetarian Friendly
41,Chinook's,https://www.tripadvisor.com/Restaurant_Review-g60878-d479059-Reviews-Chinook_s-Seattle_Washington.html,4.5,615,"1900 W Nickerson St Ste 103, Seattle, WA 98119-1661","#25 of 2,182 Restaurants in Seattle","[323, 205, 56, 15, 2]",$$ - $$$,AmericanSeafoodVegetarian Friendly
42,Lola,https://www.tripadvisor.com/Restaurant_Review-g60878-d484242-Reviews-Lola-Seattle_Washington.html,4.5,2021,"2000 B 4th Ave, Seattle, WA 98121-2415","#26 of 2,182 Restaurants in Seattle","[1140, 588, 153, 49, 21]",$$ - $$$,AmericanMediterraneanVegetarian Friendly
43,Seastar Restaurant & Raw Bar,https://www.tripadvisor.com/Restaurant_Review-g58349-d433289-Reviews-Seastar_Restaurant_Raw_Bar-Bellevue_Washington.html,4.5,884,"205 108th Ave NE Ste 100, Bellevue, WA 98004-5770",#1 of 316 Restaurants in Bellevue,"[538, 210, 74, 27, 11]",$$$$,AmericanSeafoodSushi
44,Cafe Juanita,https://www.tripadvisor.com/Restaurant_Review-g58541-d433224-Reviews-Cafe_Juanita-Kirkland_Washington.html,4.5,343,"9702 NE 120th Pl, Kirkland, WA 98034-4206",#1 of 147 Restaurants in Kirkland,"[258, 47, 20, 10, 4]",$$$$,ItalianContemporaryVegetarian Friendly
45,Place Pigalle Restaurant and Bar,https://www.tripadvisor.com/Restaurant_Review-g60878-d432614-Reviews-Place_Pigalle_Restaurant_and_Bar-Seattle_Washington.html,4.5,471,"81 Pike St Pike Place Market, Seattle, WA 98101-2024","#27 of 2,182 Restaurants in Seattle","[260, 129, 44, 11, 11]",$$$$,FrenchSeafoodEuropean
46,Piroshky Piroshky,https://www.tripadvisor.com/Restaurant_Review-g60878-d521367-Reviews-Piroshky_Piroshky-Seattle_Washington.html,4.5,1874,"1908 Pike Pl, Seattle, WA 98101-1013",#7 of 88 Bakeries in Seattle,"[1019, 481, 161, 47, 14]",$,BakeriesInternationalStreet Food
47,Portage Bay Cafe - Roosevelt,https://www.tripadvisor.com/Restaurant_Review-g60878-d3353251-Reviews-Portage_Bay_Cafe_Roosevelt-Seattle_Washington.html,4.5,518,"4130 Roosevelt Way NE, Seattle, WA 98105-6436","#28 of 2,182 Restaurants in Seattle","[298, 133, 45, 17, 8]",$$ - $$$,AmericanCafeHealthy
